Data; Abertura ; Máxima ; Mínima ; Fechamento 
20/07/2026; R$ 5.122,00 ; R$ 5.131,00 ; R$ 5.097,00 ; R$ 5.106,50 
17/07/2026; R$ 5.133,00 ; R$ 5.151,00 ; R$ 5.122,50 ; R$ 5.128,00 
16/07/2026; R$ 5.115,00 ; R$ 5.134,00 ; R$ 5.099,50 ; R$ 5.121,50 
15/07/2026; R$ 5.097,00 ; R$ 5.108,50 ; R$ 5.077,50 ; R$ 5.098,00 
14/07/2026; R$ 5.150,00 ; R$ 5.150,50 ; R$ 5.086,50 ; R$ 5.096,00 
13/07/2026; R$ 5.137,50 ; R$ 5.165,50 ; R$ 5.133,50 ; R$ 5.160,00 
10/07/2026; R$ 5.143,00 ; R$ 5.154,00 ; R$ 5.125,00 ; R$ 5.137,50 
09/07/2026; R$ 5.179,00 ; R$ 5.185,00 ; R$ 5.136,50 ; R$ 5.142,00 
08/07/2026; R$ 5.209,50 ; R$ 5.215,50 ; R$ 5.166,00 ; R$ 5.180,50 
07/07/2026; R$ 5.165,00 ; R$ 5.202,50 ; R$ 5.161,50 ; R$ 5.192,00 
06/07/2026; R$ 5.208,00 ; R$ 5.218,50 ; R$ 5.157,50 ; R$ 5.158,00 
03/07/2026; R$ 5.235,50 ; R$ 5.237,50 ; R$ 5.201,00 ; R$ 5.206,00 
02/07/2026; R$ 5.234,50 ; R$ 5.258,00 ; R$ 5.196,50 ; R$ 5.245,00 
01/07/2026; R$ 5.208,00 ; R$ 5.256,50 ; R$ 5.206,00 ; R$ 5.241,50 
30/06/2026; R$ 5.211,50 ; R$ 5.241,50 ; R$ 5.197,00 ; R$ 5.199,00 
29/06/2026; R$ 5.168,00 ; R$ 5.188,00 ; R$ 5.155,00 ; R$ 5.179,00 
26/06/2026; R$ 5.191,00 ; R$ 5.192,50 ; R$ 5.160,00 ; R$ 5.179,50 
25/06/2026; R$ 5.206,00 ; R$ 5.225,00 ; R$ 5.172,50 ; R$ 5.184,00 
24/06/2026; R$ 5.200,50 ; R$ 5.229,50 ; R$ 5.194,00 ; R$ 5.194,00 
23/06/2026; R$ 5.186,50 ; R$ 5.201,50 ; R$ 5.171,00 ; R$ 5.192,00 
22/06/2026; R$ 5.166,50 ; R$ 5.171,50 ; R$ 5.134,50 ; R$ 5.154,00 
19/06/2026; R$ 5.172,00 ; R$ 5.182,00 ; R$ 5.145,00 ; R$ 5.165,50 
18/06/2026; R$ 5.149,00 ; R$ 5.203,50 ; R$ 5.141,00 ; R$ 5.175,50 
17/06/2026; R$ 5.113,00 ; R$ 5.144,00 ; R$ 5.066,00 ; R$ 5.121,50 
16/06/2026; R$ 5.066,50 ; R$ 5.121,00 ; R$ 5.064,00 ; R$ 5.106,00 
15/06/2026; R$ 5.055,50 ; R$ 5.093,50 ; R$ 5.046,00 ; R$ 5.073,00 
12/06/2026; R$ 5.118,00 ; R$ 5.141,00 ; R$ 5.079,00 ; R$ 5.083,00 
11/06/2026; R$ 5.196,50 ; R$ 5.206,50 ; R$ 5.115,00 ; R$ 5.127,00 
10/06/2026; R$ 5.217,50 ; R$ 5.223,00 ; R$ 5.184,00 ; R$ 5.208,00 
09/06/2026; R$ 5.195,00 ; R$ 5.221,50 ; R$ 5.177,50 ; R$ 5.204,00 
08/06/2026; R$ 5.180,00 ; R$ 5.232,50 ; R$ 5.162,00 ; R$ 5.223,50 
05/06/2026; R$ 5.089,00 ; R$ 5.208,00 ; R$ 5.085,00 ; R$ 5.203,50 
03/06/2026; R$ 5.047,00 ; R$ 5.124,00 ; R$ 5.044,50 ; R$ 5.093,00 
02/06/2026; R$ 5.049,50 ; R$ 5.057,00 ; R$ 5.034,00 ; R$ 5.041,00 
01/06/2026; R$ 5.069,00 ; R$ 5.081,50 ; R$ 5.047,00 ; R$ 5.061,50 
29/05/2026; R$ 5.073,50 ; R$ 5.107,50 ; R$ 5.066,50 ; R$ 5.073,50 
28/05/2026; R$ 5.070,50 ; R$ 5.077,50 ; R$ 5.025,00 ; R$ 5.044,00 
27/05/2026; R$ 5.039,00 ; R$ 5.074,00 ; R$ 5.033,50 ; R$ 5.063,50 
26/05/2026; R$ 5.027,00 ; R$ 5.043,00 ; R$ 5.008,00 ; R$ 5.038,50 
25/05/2026; R$ 5.022,50 ; R$ 5.027,50 ; R$ 5.000,00 ; R$ 5.016,50 
22/05/2026; R$ 5.022,00 ; R$ 5.052,00 ; R$ 5.003,50 ; R$ 5.051,50 
21/05/2026; R$ 5.027,50 ; R$ 5.034,50 ; R$ 4.992,00 ; R$ 5.015,50 
20/05/2026; R$ 5.042,00 ; R$ 5.070,00 ; R$ 5.004,00 ; R$ 5.008,50 
19/05/2026; R$ 5.037,00 ; R$ 5.073,00 ; R$ 5.023,50 ; R$ 5.059,50 
18/05/2026; R$ 5.072,50 ; R$ 5.072,50 ; R$ 5.001,50 ; R$ 5.007,00 
15/05/2026; R$ 5.041,00 ; R$ 5.101,50 ; R$ 5.037,00 ; R$ 5.074,50 
14/05/2026; R$ 5.026,00 ; R$ 5.051,00 ; R$ 4.992,50 ; R$ 5.007,00 
13/05/2026; R$ 4.914,50 ; R$ 5.040,00 ; R$ 4.913,00 ; R$ 5.028,00 
12/05/2026; R$ 4.925,50 ; R$ 4.939,00 ; R$ 4.911,50 ; R$ 4.914,00 
